-315.239,-294.232,124.604
-290.239,-294.232,124.604
-265.239,-294.232,124.604
-240.239,-294.232,124.604
-215.239,-294.232,124.604
-215.239,-269.232,124.604
-190.239,-269.232,124.604
-190.239,-244.232,124.604
-165.239,-244.232,124.604
-165.239,-219.232,124.604
-140.239,-219.232,124.604
-140.239,-194.232,124.604
-115.239,-194.232,124.604
-90.2389,-194.232,124.604
-65.2389,-194.232,124.604
-40.2389,-194.232,124.604
-40.2389,-169.232,124.604
-40.2389,-144.232,124.604
-40.2389,-119.232,124.604
-15.2389,-119.232,124.604
-15.2389,-94.2315,124.604
9.76111,-94.2315,124.604
9.76111,-69.2315,124.604
9.76111,-44.2315,124.604
9.76111,-19.2315,124.604
34.7611,-19.2315,124.604
59.7611,-19.2315,124.604
84.7611,-19.2315,124.604
109.761,-19.2315,124.604
134.761,-19.2315,124.604
134.761,5.76849,124.604
134.761,30.7685,124.604
134.761,55.7685,124.604
159.761,55.7685,124.604
159.761,80.7685,124.604
159.761,105.768,124.604
184.761,105.768,124.604
209.761,105.768,124.604
209.761,130.768,124.604
234.761,130.768,124.604
234.761,155.768,124.604
259.761,155.768,124.604
259.761,180.768,124.604
284.761,180.768,124.604
284.761,205.768,124.604
309.761,205.768,124.604
309.761,230.768,124.604
309.761,230.768,99.6036
334.761,230.768,99.6036
334.761,255.768,99.6036
334.761,255.768,74.6036
